#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
3686	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Imming P (2006)	17016423	171742	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
3687	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Chen X (2002)	11752352	171740	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
3688	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Overington JP (2006)	17139284	171741	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
8659	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Dewar AL (2005)	15917650	177323	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8660	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Haberler C (2006)	16205964	177326	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8661	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Agirre X (2005)	15949566	177327	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8662	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Brueggemeier SB (2005)	16153117	177324	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8663	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Hoerth E (2004)	15799618	177325	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
15409	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	multitarget	target	Piccaluga PP (2007)	17701954	180863	1242	Dasatinib	Dasatinib (anh.)|Dasatinib|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|BMS dasatinib|Anhydrous dasatinib|dasatinib (anhydrous)|anh. dasatinib|Dasatinibum|BDBM13216	sprycel	DRUGBANK	DB01254	C22H26ClN7O2S	small molecule	L01XE06	302962-49-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
15410	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	multitarget	target	Imming P (2006)	17016423	171742	1242	Dasatinib	Dasatinib (anh.)|Dasatinib|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|BMS dasatinib|Anhydrous dasatinib|dasatinib (anhydrous)|anh. dasatinib|Dasatinibum|BDBM13216	sprycel	DRUGBANK	DB01254	C22H26ClN7O2S	small molecule	L01XE06	302962-49-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
