#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
245766	4193	7161	110358	113014	-	-	MDM2	TP73	ACTFS|HDMX|hdm2	P73	Reconstituted Complex	physical	Balint E (1999)	PUBMED:10435614	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258712	7161	10399	113014	115671	-	HLC7	TP73	GNB2L1	P73	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	Two-hybrid	physical	Ozaki T (2003)	PUBMED:12761493	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	P63244	E9KL35	NP_006089	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258713	10399	7161	115671	113014	HLC7	-	GNB2L1	TP73	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	P73	Reconstituted Complex	physical	Ozaki T (2003)	PUBMED:12761493	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63244	E9KL35	NP_006089	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258714	10399	7161	115671	113014	HLC7	-	GNB2L1	TP73	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	P73	Affinity Capture-Western	physical	Ozaki T (2003)	PUBMED:12761493	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63244	E9KL35	NP_006089	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258715	7161	10399	113014	115671	-	HLC7	TP73	GNB2L1	P73	Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1	Affinity Capture-Western	physical	Ozaki T (2003)	PUBMED:12761493	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	P63244	E9KL35	NP_006089	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258716	7161	5925	113014	111860	-	RP11-174I10.1	TP73	RB1	P73	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Ozaki T (2003)	PUBMED:12761493	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262340	7341	7161	113188	113014	OK/SW-cl.43	-	SUMO1	TP73	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	P73	Two-hybrid	physical	Minty A (2000)	PUBMED:10961991	9606	9606	Low Throughput	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID	P63165	A0A024R3Z2	NP_001358323|NP_001358322|NP_001358321|NP_001005782|NP_001005781|NP_003343	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262342	7329	7161	113177	113014	LA16c-358B7.1	-	UBE2I	TP73	C358B7.1|P18|UBC9	P73	Two-hybrid	physical	Minty A (2000)	PUBMED:10961991	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63279	B0QYN7|A8K503	NP_003336|NP_919236|NP_919237|NP_919235	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262346	1107	7161	107532	113014	-	-	CHD3	TP73	Mi-2a|Mi2-ALPHA|ZFH	P73	Two-hybrid	physical	Minty A (2000)	PUBMED:10961991	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q12873	B3KWV4|Q2TAZ1	NP_005843|NP_001005273|NP_001005271	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262348	10114	7161	115420	113014	RP1-8L15.1	-	HIPK3	TP73	DYRK6|FIST3|PKY|YAK1	P73	Two-hybrid	physical	Minty A (2000)	PUBMED:10961991	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H422	A8KAE4	NP_001265092|NP_001041665|NP_001265091|NP_005725	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262352	6996	7161	112855	113014	-	-	TDG	TP73	hTDG	P73	Two-hybrid	physical	Minty A (2000)	PUBMED:10961991	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13569	B4E127|B4DI29	NP_003202	O15350	A0A024R4C3	NP_005418|NP_001191120|NP_001119714|NP_001119713|NP_001119712|NP_001191118|NP_001191115|NP_001191114|NP_001191117|NP_001191116|NP_001191113|NP_001191119|NP_001191121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
