#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
15662	472	25	106962	106543	-	RP11-83J21.1	ATM	ABL1	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	Two-hybrid	physical	Shafman T (1997)	PUBMED:9168117	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13315	A0A024R3C7	NP_001338763|NP_000042	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	-	-	-	-	-	-	Homo sapiens	Homo sapiens
15694	4914	25	110969	106543	-	RP11-83J21.1	NTRK1	ABL1	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	Two-hybrid	physical	Koch A (2000)	PUBMED:10708759	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04629	X5DR71	NP_001007793|NP_002520|NP_001012331	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243884	25	5777	106543	111742	RP11-83J21.1	-	ABL1	PTPN6	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	Affinity Capture-Western	physical	Kharbanda S (1996)	PUBMED:8692915	9606	9606	Low Throughput	-	-	Binds constitutively;Treatment with ionizing radiation is associated with c-Abl-dependent tyrosine phosphorylation of SHPTP1; the SH3 domain of c-Abl interacts with a WPDHGVPSEP motif (residues 417-426) in the catalytic domain of SHPTP1 and c-Abl phosphor	-	BIOGRID	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	P29350	Q53XS4	NP_536859|NP_536858|NP_002822	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244032	25	5925	106543	111860	RP11-83J21.1	RP11-174I10.1	ABL1	RB1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Miyamura T (1997)	PUBMED:9071815	9606	9606	Low Throughput	-	-	c-ABL and BCR-ABL associated with both phosphorylated and nonphosphorylated forms of pRB	-	BIOGRID	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244034	25	672	106543	107140	RP11-83J21.1	-	ABL1	BRCA1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	Affinity Capture-Western	physical	Foray N (2002)	PUBMED:12024016	9606	9606	Low Throughput	-	-	c-Abl binds specifically to the C-terminal region of BRCA1 (residues 1314 to 1863);Direct interaction between the PXXP motif in the C terminus of BRCA1 and the SH3 domain of c-Abl;Following exposure to ionizing radiation (IR), the BRCA1-c-Abl complex is d	-	BIOGRID	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244035	672	25	107140	106543	-	RP11-83J21.1	BRCA1	ABL1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	Affinity Capture-Western	physical	Foray N (2002)	PUBMED:12024016	9606	9606	Low Throughput	-	-	c-Abl binds specifically to the C-terminal region of BRCA1 (residues 1314 to 1863);Direct interaction between the PXXP motif in the C terminus of BRCA1 and the SH3 domain of c-Abl;Following exposure to ionizing radiation (IR), the BRCA1-c-Abl complex is d	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244211	613	25	107083	106543	-	RP11-83J21.1	BCR	ABL1	ALL|BCR1|CML|D22S11|D22S662|PHL	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	Affinity Capture-Western	physical	Ling X (2003)	PUBMED:12543778	9606	9606	Low Throughput	-	-	Endogenous Bcr protein forms a complex with c-Abl in hematopoietic cells and insect cells;Bcr and the Mr 10,000 Abl SH2 protein (human ABL SH2 domain beginning at nucleotide 379 through 648 ) are present in a complex	-	BIOGRID	P11274	-	NP_004318|NP_067585	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244369	25	613	106543	107083	RP11-83J21.1	-	ABL1	BCR	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ALL|BCR1|CML|D22S11|D22S662|PHL	Reconstituted Complex	physical	Pendergast AM (1991)	PUBMED:1712671	9606	9606	Low Throughput	-	-	Full-length c-BCR as well as BCR sequences retained in BCR-ABL bind specifically to the SH2 domain of ABL. The binding domain has been localized within the first exon of BCR and consists of at least two SH2-binding sites. This domain is essential for BCR-	-	BIOGRID	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	P11274	-	NP_004318|NP_067585	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244564	25	25	106543	106543	RP11-83J21.1	RP11-83J21.1	ABL1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	Protein-peptide	physical	Hantschel O (2003)	PUBMED:12654250	9606	9606	Low Throughput	-	-	Intramolecular engagement of the N-terminal myristoyl modification with the kinase domain regulates docking and accessibility of the SH2 domain;cellular activation of c-Abl by tyrosine-phosphorylated proteins	-	BIOGRID	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244614	25	16451	106543	200856	RP11-83J21.1	RP23-336G7.2	ABL1	Jak1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	AA960307|BAP004|C130039L05Rik	Affinity Capture-Western	physical	Danial NN (1998)	PUBMED:9774693	9606	10090	Low Throughput	-	-	Mapping the Jak1 interaction domain in v-Abl demonstrates that amino acids 858 to 1080 within the carboxyl-terminal region of v-Abl bind Jak1 through a direct interaction	-	BIOGRID	P00519	A0A024R8E2|Q59FK4	NP_009297|NP_005148	-	B1ASP2|Q3URU8|Q3U8P8	NP_666257	-	-	-	-	-	-	Homo sapiens	Mus musculus
